新指标ID,数据层级,对象类型,数据指标,旧指标ID,业务定义,录入说明,录入方式,关联指标ID,来源Sheet,当前身份证位置,是否有待确认项,待确认-数据来源,待确认-业务口径,待确认-计算规则,待确认-统计范围
L1-001,L1,原始字段,进阶订单支付金额原始记录,新增原始字段,用于形成“进阶金额”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从来源汇总：进阶_订单原始明细[支付金额]求和，602期=346300，与D4完全一致。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,营期整体数据；成交节奏；成交节奏（副本）；流量数据沉淀,由L2-001的上游来源抽取,有,,,,确认按支付日或业务归属日统计；1笔订单号为空。
L2-001,L2,汇总/一次派生指标,进阶金额,M-001,本营期学员购买进阶产品产生的金额合计。,来源汇总：进阶_订单原始明细[支付金额]求和，602期=346300，与D4完全一致。,原始汇总,L1-001 进阶订单支付金额原始记录,营期整体数据；成交节奏；成交节奏（副本）；流量数据沉淀,原Sheet下方横向身份证,有,,确认是否包含订金、尾款、补款及退款。,,确认按支付日或业务归属日统计；1笔订单号为空。
L3-001,L3,复合业务指标,进阶LTV,M-002,平均每个内部总配额对应的进阶金额。,进阶金额 ÷ 内部总配额（D4 ÷ Y4）。,公式计算,L2-001 进阶金额；L2-007 内部总配额,营期整体数据；实际LTV,原Sheet下方横向身份证,有,,当前表另有338.2使用1024分母，本指标使用1025。,统一内部总配额分母后再定稿。,
L1-002,L1,原始指标,广告费用,M-003,为了本次招生支付的广告投放费用。,手动输入,手动输入,无,营期整体数据；流量数据沉淀,原Sheet下方横向身份证,有,确认能否从广告账户或招生费用明细自动汇总，并明确来源表与负责人。,确认广告费用是否仅含投流，是否包含服务费、税费或人工成本。,,确认广告费用按消耗日、充值日还是归属营期统计。
L3-002,L3,复合业务指标,CAC,M-004,平均每个内部总配额分摊的广告费用。,广告费用 ÷ 内部总配额（F4 ÷ Y4）,公式计算,L1-002 广告费用；L2-007 内部总配额,营期整体数据,原Sheet下方横向身份证,有,,确认是否继续命名为CAC；当前分母是内部总配额，不是新增获客人数。,,
L3-003,L3,复合业务指标,ROI,M-005,每投入 1 元广告费用带来的进阶金额。,进阶金额 ÷ 广告费用（D4 ÷ F4）,公式计算,L2-001 进阶金额；L1-002 广告费用,营期整体数据；流量数据沉淀,原Sheet下方横向身份证,有,,确认ROI的收益端是否使用未扣广告费的进阶金额，以及是否应扣除退款。,,
L1-003,L1,原始指标,体验课收入,M-006,本营期学员购买体验课产生的收入合计。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从体验课订单明细自动汇总，并明确来源表与负责人。,确认体验课收入是否包含补款、尾款，以及是否按退款后净额统计。,,确认按支付日还是归属营期统计，并明确退款截止时间。
L3-004,L3,复合业务指标,体验课平均单价,M-008,平均每名后台有效学员对应的体验课收入。,体验课收入 ÷ 后台有效人数（I4 ÷ T4）,公式计算,L1-003 体验课收入；L2-005 后台有效人数,营期整体数据,原Sheet下方横向身份证,有,,“平均单价”与当前分母不一致；需确认是人均体验课收入还是订单平均单价。,,
L2-002,L2,汇总/一次派生指标,总营收,M-009,进阶金额与体验课收入的合计。,进阶金额 + 体验课收入（D4 + I4）,公式计算,L2-001 进阶金额；L1-003 体验课收入,营期整体数据,原Sheet下方横向身份证,有,,确认总营收是否只包含进阶金额与体验课收入。,,
L1-004,L1,原始指标,退费金额,M-010,本营期发生的退费金额合计。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从退款订单明细自动汇总。,确认退费金额包含哪些产品、哪些退款状态。,当前以常数公式录入，需改成手动值或可追溯的来源公式。,确认退款按申请日、到账日还是原订单营期归属。
L3-005,L3,复合业务指标,退费占比,M-011,退费金额占进阶金额的比例。,退费金额 ÷ 进阶金额（L4 ÷ D4）；602期当前未填入该公式,公式计算（602期缺失）,L1-004 退费金额；L2-001 进阶金额,营期整体数据,原Sheet下方横向身份证,有,,,602期公式缺失，需补为退费金额÷进阶金额，并统一历期公式。,确认602期为空是未采集、无数据还是漏填。
L2-003,L2,汇总/一次派生指标,退费后营收,M-012,总营收扣除退费金额后的营收。,总营收 - 退费金额（K4 - L4）,公式计算,L2-002 总营收；L1-004 退费金额,营期整体数据,原Sheet下方横向身份证,无,,,,
L1-005,L1,原始指标,延期金额,M-013,归入延期处理的金额合计。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从延期申请或订单状态明细自动汇总。,确认什么情况计入延期金额。,,确认延期金额归入原营期还是复学营期。
L3-006,L3,复合业务指标,延期占比,M-014,延期金额占进阶金额的比例。,延期金额 ÷ 进阶金额（O4 ÷ D4）；602期当前未填入该公式,公式计算（602期缺失）,L1-005 延期金额；L2-001 进阶金额,营期整体数据,原Sheet下方横向身份证,有,,,602期公式缺失，需补为延期金额÷进阶金额，并统一历期公式。,确认602期为空是未采集、无数据还是漏填。
L1-006,L1,原始指标,复学金额,M-015,延期学员复学后重新计入的金额合计。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从复学记录或订单明细自动汇总。,确认什么情况计入复学金额。,,确认复学金额归入原营期还是复学营期。
L3-007,L3,复合业务指标,复学金额占比,M-016,复学金额占实际营收的比例。,复学金额 ÷ 实际营收（Q4 ÷ S4）,公式计算,L1-006 复学金额；L2-004 实际营收,营期整体数据,原Sheet下方横向身份证,有,,确认复学金额占比是否应以实际营收为分母。,,
L2-004,L2,汇总/一次派生指标,实际营收,M-017,总营收扣除退费与延期金额，再加回复学金额后的营收。,总营收 - 退费金额 - 延期金额 + 复学金额（K4 - L4 - O4 + Q4）,公式计算,L2-002 总营收；L1-004 退费金额；L1-005 延期金额；L1-006 复学金额,营期整体数据,原Sheet下方横向身份证,有,,确认实际营收是否按现有四项金额口径计算。,,
L1-007,L1,原始字段,后台有效人数原始明细记录,新增原始字段,用于形成“后台有效人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从来源汇总：后台_学员原始名单共1103条，与T4完全一致。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,营期整体数据,由L2-005的上游来源抽取,有,,,,确认名单导出截点。
L2-005,L2,汇总/一次派生指标,后台有效人数,M-018,后台名单中被认定为本营期有效的学员人数。,来源汇总：后台_学员原始名单共1103条，与T4完全一致。,原始汇总,L1-007 后台有效人数原始明细记录,营期整体数据,原Sheet下方横向身份证,有,,需确认‘后台有效’是否等于原始名单全部记录。,,确认名单导出截点。
L1-008,L1,原始指标,老学员人数,M-019,本营期有效学员中的老学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员名单自动识别老学员并汇总。,确认“老学员”的识别标准。,,
L1-009,L1,原始指标,可抹除/折算人数,M-020,按当前规则可从配额分母中抹除或折算的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员名单按抹除/折算规则自动汇总。,确认可抹除与折算的适用条件及折算方式。,,确认601期为空是未采集、无数据还是不适用。
L1-010,L1,原始指标,非班级配额,M-021,不归属具体班级、需从班级配额中扣除的配额人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从班级分配表自动汇总非班级配额。,确认“非班级配额”的业务范围。,,
L1-011,L1,原始字段,班级配额原始记录,新增原始字段,用于形成“班级总配额”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从来源汇总：后台_班级教练原始14班配额合计1022，与X4完全一致。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,营期整体数据；直播数据,由L2-006的上游来源抽取,无,,,,
L2-006,L2,汇总/一次派生指标,班级总配额,M-022,后台有效人数扣除老学员、可抹除/折算人数和非班级配额后的班级配额。,来源汇总：后台_班级教练原始14班配额合计1022，与X4完全一致。,原始汇总,L1-011 班级配额原始记录,营期整体数据；直播数据,原Sheet下方横向身份证,无,,,,
L2-007,L2,汇总/一次派生指标,内部总配额,M-007,后台有效人数扣除老学员和可抹除/折算人数后的内部配额。,后台有效人数 - 老学员人数 - 可抹除/折算人数（T4 - U4 - V4）,公式计算,L2-005 后台有效人数；L1-008 老学员人数；L1-009 可抹除/折算人数,营期整体数据,原Sheet下方横向身份证,有,,确认内部总配额是否作为进阶、LTV与CAC的统一分母。,,
L1-012,L1,原始指标,好友率,M-023,已添加教练好友的学员占应统计学员的比例。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从教练端好友数据自动统计，替代人工申报。,确认“已加好友”的有效判定标准。,,确认统计分母与D1最终确认时间。
L1-013,L1,原始指标,开口率,M-024,在群内产生有效发言的学员占应统计学员的比例。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从群消息明细自动统计，替代人工申报。,确认“开口”的有效发言标准。,,确认统计分母、有效发言窗口与截止时间。
L1-014,L1,原始指标,进群率,M-025,已进入训练营群的学员占应统计学员的比例。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从群成员明细自动统计，替代人工申报。,确认“进群”的有效判定标准。,,确认统计分母与进群截止时间。
L2-008,L2,汇总/一次派生指标,满分人数,M-026,三个学员分组的满分人数合计。,家学学员满分人数 + 焦妈未进阶学员满分人数 + 全新学员满分人数（BG4 + BW4 + CM4）,公式计算,L1-024 家学学员满分人数；L1-031 焦妈未进阶学员满分人数；L1-038 全新学员满分人数,营期整体数据,原Sheet下方横向身份证,有,,确认“满分”的达成标准。,,
L3-008,L3,复合业务指标,满分率,M-027,满分人数占班级总配额的比例。,满分人数 ÷ 班级总配额（AC4 ÷ X4）,公式计算,L2-008 满分人数；L2-006 班级总配额,营期整体数据,原Sheet下方横向身份证,无,,,,
L1-015,L1,原始指标,1980人数,M-028,购买1980元进阶产品的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从成交订单按1980元产品档位自动汇总。,确认人数按下单、付订金还是完成补款统计。,,
L1-016,L1,原始指标,2980人数,M-029,购买2980元进阶产品的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从成交订单按2980元产品档位自动汇总。,确认人数按下单、付订金还是完成补款统计。,,
L1-017,L1,原始指标,3980人数,M-030,购买3980元进阶产品的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从成交订单按3980元产品档位自动汇总。,确认人数按下单、付订金还是完成补款统计。,,
L2-009,L2,汇总/一次派生指标,非本期学员进阶人数,M-031,总进阶人数扣除三个本期学员分组进阶人数后的差额人数。,总进阶人数 - 家学学员进阶人数 - 焦妈未进阶学员进阶人数 - 全新学员进阶人数（AI4 - AW4 - BM4 - CC4）,公式计算,L2-010 总进阶人数；L1-019 家学学员进阶人数；L1-026 焦妈未进阶学员进阶人数；L1-033 全新学员进阶人数,营期整体数据,原Sheet下方横向身份证,有,,确认“非本期学员”的归属规则。,,
L2-010,L2,汇总/一次派生指标,总进阶人数,M-032,1980、2980和3980三个进阶产品档位人数合计。,1980人数 + 2980人数 + 3980人数（AE4 + AF4 + AG4）,公式计算,L1-015 1980人数；L1-016 2980人数；L1-017 3980人数,营期整体数据,原Sheet下方横向身份证,无,,,,
L3-009,L3,复合业务指标,总进阶率,M-033,总进阶人数占内部总配额的比例。,总进阶人数 ÷ 内部总配额（AI4 ÷ Y4）,公式计算,L2-010 总进阶人数；L2-007 内部总配额,营期整体数据,原Sheet下方横向身份证,无,,,,
L2-011,L2,汇总/一次派生指标,测评人数,M-034,三个学员分组的测评人数合计。,家学学员测评人数 + 焦妈未进阶学员测评人数 + 全新学员测评人数（AY4 + BO4 + CE4）,公式计算,L1-020 家学学员测评人数；L1-027 焦妈未进阶学员测评人数；L1-034 全新学员测评人数,营期整体数据,原Sheet下方横向身份证,有,,,601期手动输入、602期公式计算，需统一历期录入方式。,
L3-010,L3,复合业务指标,测评率,M-035,测评人数占班级总配额的比例。,测评人数 ÷ 班级总配额（AK4 ÷ X4）,公式计算,L2-011 测评人数；L2-006 班级总配额,营期整体数据,原Sheet下方横向身份证,无,,,,
L2-012,L2,汇总/一次派生指标,测评中进阶人数,M-036,三个学员分组中测评后进阶的人数合计。,家学学员测评中进阶人数 + 焦妈未进阶学员测评中进阶人数 + 全新学员测评中进阶人数（BA4 + BQ4 + CG4）,公式计算,L1-021 家学学员测评中进阶人数；L1-028 焦妈未进阶学员测评中进阶人数；L1-035 全新学员测评中进阶人数,营期整体数据,原Sheet下方横向身份证,有,,,601期手动输入、602期公式计算，需统一历期录入方式。,
L3-011,L3,复合业务指标,测评学员进阶率,M-037,测评中进阶人数占测评人数的比例。,测评中进阶人数 ÷ 测评人数（AM4 ÷ AK4）,公式计算,L2-012 测评中进阶人数；L2-011 测评人数,营期整体数据,原Sheet下方横向身份证,无,,,,
L3-012,L3,复合业务指标,测评进阶占总进阶,M-038,测评中进阶人数占总进阶人数的比例。,测评中进阶人数 ÷ 总进阶人数（AM4 ÷ AI4）,公式计算,L2-012 测评中进阶人数；L2-010 总进阶人数,营期整体数据,原Sheet下方横向身份证,无,,,,
L2-013,L2,汇总/一次派生指标,订金人数,M-039,三个学员分组的订金人数合计。,来源汇总：进阶_订金原始订单88笔已支付，与AP4完全一致。,原始汇总,L1-022 家学学员订金人数；L1-029 焦妈未进阶学员订金人数；L1-036 全新学员订金人数,营期整体数据；直播数据,原Sheet下方横向身份证,有,,,,85/88条分组字段为空，分组订金人数不能由该来源确认。
L3-013,L3,复合业务指标,订金率,M-040,订金人数占班级总配额的比例。,订金人数 ÷ 班级总配额（AP4 ÷ X4）,公式计算,L2-013 订金人数；L2-006 班级总配额,营期整体数据；直播数据,原Sheet下方横向身份证,无,,,,
L2-014,L2,汇总/一次派生指标,补款人数,M-041,三个学员分组的补款人数合计。,家学学员补款人数 + 焦妈未进阶学员补款人数 + 全新学员补款人数（BE4 + BU4 + CK4）,公式计算,L1-023 家学学员补款人数；L1-030 焦妈未进阶学员补款人数；L1-037 全新学员补款人数,营期整体数据；直播数据,原Sheet下方横向身份证,有,,,601期手动输入、602期公式计算，需统一历期录入方式。,
L3-014,L3,复合业务指标,补款率,M-042,补款人数占订金人数的比例。,补款人数 ÷ 订金人数（AR4 ÷ AP4）,公式计算,L2-014 补款人数；L2-013 订金人数,营期整体数据；直播数据,原Sheet下方横向身份证,无,,,,
L3-015,L3,复合业务指标,订金全款占总进阶,M-043,补款人数占总进阶人数的比例。,补款人数 ÷ 总进阶人数（AR4 ÷ AI4）,公式计算,L2-014 补款人数；L2-010 总进阶人数,营期整体数据,原Sheet下方横向身份证,有,,指标名称写“订金全款/总进阶”，当前公式实际为补款人数÷总进阶人数，需统一名称。,,
L1-018,L1,原始字段,家学学员人数原始明细记录,新增原始字段,用于形成“家学学员人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从来源汇总：飞书_分组日更原始D1家学学员人数324，与AU4完全一致。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,营期整体数据；直播数据,由L2-015的上游来源抽取,有,,,,确认D1快照是否作为全营期基准人数。
L2-015,L2,汇总/一次派生指标,家学学员人数,M-044,属于“家学学员”分组的学员人数。,来源汇总：飞书_分组日更原始D1家学学员人数324，与AU4完全一致。,原始汇总,L1-018 家学学员人数原始明细记录,营期整体数据；直播数据,原Sheet下方横向身份证,有,,,,确认D1快照是否作为全营期基准人数。
L3-016,L3,复合业务指标,家学学员占比,M-045,“家学学员”人数占班级总配额的比例。,家学学员人数 ÷ 班级总配额（AU4 ÷ X4）,公式计算,L2-015 家学学员人数；L2-006 班级总配额,营期整体数据,原Sheet下方横向身份证,有,,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,,
L1-019,L1,原始指标,家学学员进阶人数,M-046,“家学学员”中购买进阶产品的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员行为与成交明细按“家学学员”标签自动汇总。,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,,
L3-017,L3,复合业务指标,家学学员进阶率,M-047,“家学学员”进阶人数占该分组人数的比例。,家学学员进阶人数 ÷ 家学学员人数（AW4 ÷ AU4）,公式计算,L1-019 家学学员进阶人数；L2-015 家学学员人数,营期整体数据,原Sheet下方横向身份证,有,,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,,
L1-020,L1,原始指标,家学学员测评人数,M-048,“家学学员”中完成测评的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员行为与成交明细按“家学学员”标签自动汇总。,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,,
L3-018,L3,复合业务指标,家学学员测评率,M-049,“家学学员”测评人数占该分组人数的比例。,家学学员测评人数 ÷ 家学学员人数（AY4 ÷ AU4）,公式计算,L1-020 家学学员测评人数；L2-015 家学学员人数,营期整体数据,原Sheet下方横向身份证,有,,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,,
L1-021,L1,原始指标,家学学员测评中进阶人数,M-050,“家学学员”中完成测评并进阶的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员行为与成交明细按“家学学员”标签自动汇总。,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,,
L3-019,L3,复合业务指标,家学学员测评学员进阶率,M-051,“家学学员”测评中进阶人数占该分组测评人数的比例。,家学学员测评中进阶人数 ÷ 家学学员测评人数（BA4 ÷ AY4）,公式计算,L1-021 家学学员测评中进阶人数；L1-020 家学学员测评人数,营期整体数据,原Sheet下方横向身份证,有,,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,,
L1-022,L1,原始指标,家学学员订金人数,M-052,“家学学员”中支付进阶订金的学员人数。,手动输入,手动输入,无,营期整体数据；直播数据,原Sheet下方横向身份证,有,确认能否从学员行为与成交明细按“家学学员”标签自动汇总。,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,,确认601期为空是未采集、无数据还是不适用。
L3-020,L3,复合业务指标,家学学员订金率,M-053,“家学学员”订金人数占该分组人数的比例。,家学学员订金人数 ÷ 家学学员人数（BC4 ÷ AU4）,公式计算,L1-022 家学学员订金人数；L2-015 家学学员人数,营期整体数据；直播数据,原Sheet下方横向身份证,有,,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,,确认601期为空是未采集、无数据还是不适用。
L1-023,L1,原始指标,家学学员补款人数,M-054,“家学学员”中完成进阶补款的学员人数。,手动输入,手动输入,无,营期整体数据,原Sheet下方横向身份证,有,确认能否从学员行为与成交明细按“家学学员”标签自动汇总。,确认“家学学员”的识别规则，以及与其他学员分组是否互斥。,,确认601期为空是未采集、无数据还是不适用。
