新指标ID,数据层级,对象类型,数据指标,旧指标ID,业务定义,录入说明,录入方式,关联指标ID,来源Sheet,当前身份证位置,是否有待确认项,待确认-数据来源,待确认-业务口径,待确认-计算规则,待确认-统计范围
L2-026,L2,汇总/一次派生指标,非家学非目标年龄段人数,M-102,非家学学员中孩子不处于目标年龄段的人数。,602期_六表原始数据汇总_V1.xlsx/飞书_开营前原始计数：122，与Q4完全一致。,原始汇总,L1-046 非家学与非目标年龄段标签原始记录,目标学员率,原Sheet下方横向身份证,无,,,,
L3-044,L3,复合业务指标,非家学非目标年龄段占比,M-103,非家学非目标年龄段人数占年龄可判断人数的比例。,Q4 ÷ G4。,公式计算,L2-026 非家学非目标年龄段人数；L2-021 年龄可判断人数,目标学员率,原Sheet下方横向身份证,有,,当前分母是全部年龄可判断人数，不是非家学人数。,,
L3-045,L3,复合业务指标,产品适配人群占比,M-104,按产品适配类别统计的人群占比；类别为分析维度。,S4:W4引用上游年龄/家学组合占比。,公式引用,L3-041 家学目标年龄段占比；L3-042 家学非目标年龄段占比；L3-043 非家学目标年龄段占比；L3-044 非家学非目标年龄段占比,目标学员率,原Sheet下方横向身份证,有,,‘只能/可/啥都不行’需改为正式产品适配分类并明确规则。,,
L1-047,L1,原始字段,每日带班学员配额原始记录,新增原始字段,用于形成“当日带班学员配额”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从602期_六表原始数据汇总_V1.xlsx/飞书_主课目标原始，D1-D10为1022或1021。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,主课和每日一问,由L2-027的上游来源抽取,有,,,,配额在D1后由1022变为1021，需记录变动原因与生效日。
L2-027,L2,汇总/一次派生指标,当日带班学员配额,M-105,某D日纳入学习统计的带班学员人数。,602期_六表原始数据汇总_V1.xlsx/飞书_主课目标原始，D1-D10为1022或1021。,原始汇总,L1-047 每日带班学员配额原始记录,主课和每日一问,原Sheet下方横向身份证,有,,,,配额在D1后由1022变为1021，需记录变动原因与生效日。
L1-048,L1,原始指标,主课观看率目标,M-106,某D日主课观看完成率目标。,602期_六表原始数据汇总_V1.xlsx/飞书_主课目标原始[观看率目标]。,参数输入,无,主课和每日一问,原Sheet下方横向身份证,无,,,,
L1-049,L1,原始字段,主课观看完成原始记录,新增原始字段,用于形成“主课观看人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从602期_六表原始数据汇总_V1.xlsx/飞书_主课目标原始[主课观看人数]，与表内602期各D日人数一致。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,主课和每日一问,由L2-028的上游来源抽取,无,,,,
L2-028,L2,汇总/一次派生指标,主课观看人数,M-107,某D日完成主课观看的学员人数。,602期_六表原始数据汇总_V1.xlsx/飞书_主课目标原始[主课观看人数]，与表内602期各D日人数一致。,原始汇总,L1-049 主课观看完成原始记录,主课和每日一问,原Sheet下方横向身份证,无,,,,
L3-046,L3,复合业务指标,主课观看完成率,M-108,主课观看人数占当日带班学员配额的比例。,主课观看人数 ÷ 当日带班学员配额。,公式计算,L2-028 主课观看人数；L2-027 当日带班学员配额,主课和每日一问,原Sheet下方横向身份证,无,,,,
L3-047,L3,复合业务指标,主课观看目标达成率,M-109,实际主课观看完成率相对于目标的达成程度。,主课观看完成率 ÷ 主课观看率目标。,公式计算,L3-046 主课观看完成率；L1-048 主课观看率目标,主课和每日一问,原Sheet下方横向身份证,无,,,,
L3-048,L3,复合业务指标,主课观看同比,M-110,本期同D日主课观看完成率相对上一期的变化率。,（本期完成率-上期完成率）÷上期完成率。,公式计算,L3-046 主课观看完成率,主课和每日一问,原Sheet下方横向身份证,有,,,,需确保两期D日、配额和截点可比。
L1-050,L1,原始指标,必修作业完成率目标,M-111,某D日必修作业完成率目标。,602期_六表原始数据汇总_V1.xlsx/飞书_主课目标原始[作业目标]。,参数输入,无,主课和每日一问,原Sheet下方横向身份证,无,,,,
L1-051,L1,原始字段,必修作业完成原始记录,新增原始字段,用于形成“必修作业完成人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从602期_六表原始数据汇总_V1.xlsx/飞书_渠道日更原始按D日汇总[必修作业完成数]。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,主课和每日一问,由L2-029的上游来源抽取,有,当前主表D1-D6未展示完成人数，虽有原始值但页面列位不完整。,,,
L2-029,L2,汇总/一次派生指标,必修作业完成人数,M-112,某D日完成必修作业的学员人数。,602期_六表原始数据汇总_V1.xlsx/飞书_渠道日更原始按D日汇总[必修作业完成数]。,原始汇总,L1-051 必修作业完成原始记录,主课和每日一问,原Sheet下方横向身份证,有,当前主表D1-D6未展示完成人数，虽有原始值但页面列位不完整。,,,
L3-049,L3,复合业务指标,必修作业完成率,M-113,必修作业完成人数占当日带班学员配额的比例。,必修作业完成人数 ÷ 当日带班学员配额。,公式计算,L2-029 必修作业完成人数；L2-027 当日带班学员配额,主课和每日一问,原Sheet下方横向身份证,无,,,,
L3-050,L3,复合业务指标,必修作业目标达成率,M-114,实际必修作业完成率相对于目标的达成程度。,必修作业完成率 ÷ 必修作业完成率目标。,公式计算,L3-049 必修作业完成率；L1-050 必修作业完成率目标,主课和每日一问,原Sheet下方横向身份证,有,当前主表多日未设置该列或留空。,,,
L3-051,L3,复合业务指标,必修作业同比,M-115,本期同D日必修作业完成率相对上一期的变化率。,（本期完成率-上期完成率）÷上期完成率。,公式计算,L3-049 必修作业完成率,主课和每日一问,原Sheet下方横向身份证,有,当前主表D1-D6缺少完整同比列。,,,需确保两期D日、配额和截点可比。
L1-052,L1,原始指标,每日一问完成率目标,M-116,某D日每日一问完成率目标。,当前表按D日手动维护目标。,参数输入,无,主课和每日一问,原Sheet下方横向身份证,有,,目标来源未在原始包中单独固化。,,
L1-053,L1,原始字段,每日一问完成原始记录,新增原始字段,用于形成“每日一问完成人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从602期_六表原始数据汇总_V1.xlsx/飞书_渠道日更原始按D日汇总[每日一问完成数]。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,主课和每日一问,由L2-030的上游来源抽取,无,,,,
L2-030,L2,汇总/一次派生指标,每日一问完成人数,M-117,某D日完成每日一问的学员人数。,602期_六表原始数据汇总_V1.xlsx/飞书_渠道日更原始按D日汇总[每日一问完成数]。,原始汇总,L1-053 每日一问完成原始记录,主课和每日一问,原Sheet下方横向身份证,无,,,,
L3-052,L3,复合业务指标,每日一问完成率,M-118,每日一问完成人数占当日带班学员配额的比例。,每日一问完成人数 ÷ 当日带班学员配额；表内部分日期直接录入比例。,原始汇总/公式计算,L2-030 每日一问完成人数；L2-027 当日带班学员配额,主课和每日一问,原Sheet下方横向身份证,有,,,建议统一由人数和配额公式计算，避免比例手填。,
L3-053,L3,复合业务指标,每日一问目标达成率,M-119,实际每日一问完成率相对于目标的达成程度。,每日一问完成率 ÷ 每日一问完成率目标。,公式计算,L3-052 每日一问完成率；L1-052 每日一问完成率目标,主课和每日一问,原Sheet下方横向身份证,有,当前主表后半段多日未设置目标达成率。,,,
L3-054,L3,复合业务指标,每日一问同比,M-120,本期同D日每日一问完成率相对上一期的变化率。,（本期完成率-上期完成率）÷上期完成率。,公式计算,L3-052 每日一问完成率,主课和每日一问,原Sheet下方横向身份证,有,,,,需确保两期D日、配额和截点可比。
L2-031,L2,汇总/一次派生指标,非家学学员人数,M-121,纳入当前直播统计的非家学学员人数。,焦妈未进阶人数 + 全新学员人数。,公式计算,L2-017 焦妈未进阶学员人数；L2-019 全新学员人数,直播数据,原Sheet下方横向身份证,有,,,,需记录直播统计使用哪个D日的人群快照。
L1-054,L1,原始指标,直播到课率目标,M-122,某场直播到课率目标。,按场次手动维护。,参数输入,无,直播数据,原Sheet下方横向身份证,无,,,,
L3-055,L3,复合业务指标,直播实际到课率,M-123,某场直播达到到课标准的人数占班级总配额的比例。,当前表手动录入比例；原始包含三场直播逐学员观看明细。,原始汇总,L2-006 班级总配额,直播数据,原Sheet下方横向身份证,有,,到课标准所需观看时长阈值未定义。,需用原始观看明细按统一阈值复算。,
L3-056,L3,复合业务指标,直播到课率同比,M-124,本期某场直播到课率相对上一期同场次的变化率。,（本期到课率-上期到课率）÷上期到课率。,公式计算,L3-055 直播实际到课率,直播数据,原Sheet下方横向身份证,有,,,,需确保场次内容、时长阈值和截点可比。
L3-057,L3,复合业务指标,直播到课目标达成率,M-125,实际到课率相对于到课率目标的达成程度。,实际到课率 ÷ 到课率目标。,公式计算,L3-055 直播实际到课率；L1-054 直播到课率目标,直播数据,原Sheet下方横向身份证,无,,,,
L1-055,L1,原始指标,直播完课率目标,M-126,某场直播完课率目标。,按场次手动维护。,参数输入,无,直播数据,原Sheet下方横向身份证,无,,,,
L3-058,L3,复合业务指标,直播实际完课率,M-127,某场直播达到完课标准的人数占班级总配额的比例。,当前表手动录入比例；原始包含直播与回放时长。,原始汇总,L2-006 班级总配额,直播数据,原Sheet下方横向身份证,有,,完课标准及直播/回放是否合并未定义。,需用原始观看明细按统一阈值复算。,
L3-059,L3,复合业务指标,直播完课率同比,M-128,本期某场直播完课率相对上一期同场次的变化率。,（本期完课率-上期完课率）÷上期完课率。,公式计算,L3-058 直播实际完课率,直播数据,原Sheet下方横向身份证,有,,,,需确保场次内容、时长阈值和截点可比。
L3-060,L3,复合业务指标,直播完课目标达成率,M-129,实际完课率相对于完课率目标的达成程度。,实际完课率 ÷ 完课率目标。,公式计算,L3-058 直播实际完课率；L1-055 直播完课率目标,直播数据,原Sheet下方横向身份证,无,,,,
L2-032,L2,汇总/一次派生指标,非家学学员订金人数,M-130,非家学学员中已支付订金的人数。,按场次/累计人工录入。,原始汇总,L2-031 非家学学员人数,直播数据,原Sheet下方横向身份证,有,订金原始订单分组大量缺失，无法完整复算。,,,
L3-061,L3,复合业务指标,非家学学员订金率,M-131,非家学订金人数占非家学学员人数的比例。,非家学订金人数 ÷ 非家学学员人数。,公式计算,L2-032 非家学学员订金人数；L2-031 非家学学员人数,直播数据,原Sheet下方横向身份证,无,,,,
L3-062,L3,复合业务指标,订金人群构成占比,M-132,各学员人群订金人数占本场或累计订金人数的比例；人群为维度。,人群订金人数 ÷ 同范围订金人数。,公式计算,L1-022 家学学员订金人数；L2-032 非家学学员订金人数；L2-013 订金人数,直播数据,原Sheet下方横向身份证,有,,,,需区分当日订金与累计订金。
L1-056,L1,原始指标,直播在线人数,M-133,某场直播某时间点的在线人数。,按营期、场次、时间点手动记录。,原始记录,无,直播数据2,原Sheet下方横向身份证,有,602原始包提供逐学员观看记录，但未提供当前分钟级在线快照来源。,,,
L3-063,L3,复合业务指标,直播在线率,M-134,某时间点直播在线人数占后台有效人数的比例。,直播在线人数 ÷ 后台有效人数（C列/C2或F列/F2）。,公式计算,L1-056 直播在线人数；L2-005 后台有效人数,直播数据2,原Sheet下方横向身份证,有,,需确认分母使用后台有效人数还是班级总配额。,,
L1-057,L1,原始字段,标准单折算量原始明细记录,新增原始字段,用于形成“标准单折算量”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从602期_六表原始数据汇总_V1.xlsx/进阶_订单原始明细+进阶_金额产品规则输入；602期可复算111.91。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,成交节奏；成交节奏（副本）,由L2-033的上游来源抽取,有,6540元支付没有明确折算规则。,,,支付日与业务归属D日未完全一致。
L2-033,L2,汇总/一次派生指标,标准单折算量,M-135,按支付金额对应规则折算的进阶等效单数。,602期_六表原始数据汇总_V1.xlsx/进阶_订单原始明细+进阶_金额产品规则输入；602期可复算111.91。,规则计算,L1-057 标准单折算量原始明细记录,成交节奏；成交节奏（副本）,原Sheet下方横向身份证,有,6540元支付没有明确折算规则。,,,支付日与业务归属D日未完全一致。
L3-064,L3,复合业务指标,标准单节奏占比,M-136,某成交分桶标准单折算量占全营期折算量的比例。,分桶标准单折算量 ÷ 全营期标准单折算量。,公式计算,L2-033 标准单折算量,成交节奏；成交节奏（副本）,原Sheet下方横向身份证,有,,,,‘D4及之前/后续灵活单’的起止边界需固化。
L3-065,L3,复合业务指标,GMV节奏占比,M-137,某成交分桶进阶金额占全营期进阶金额的比例。,分桶进阶金额 ÷ 全营期进阶金额。,公式计算,L2-001 进阶金额,成交节奏；成交节奏（副本）,原Sheet下方横向身份证,无,,,,
L3-066,L3,复合业务指标,进阶LTV贡献,M-138,某成交分桶的进阶金额对全营期进阶LTV的贡献。,分桶进阶金额 ÷ 内部总配额。,公式计算,L2-001 进阶金额；L2-007 内部总配额,成交节奏；成交节奏（副本）,原Sheet下方横向身份证,有,,现表名称写‘累计LTV’，但公式实际是当日/分桶贡献。,,
L1-058,L1,原始指标,目标进阶单数,M-139,经营计划设定的目标进阶标准单数。,计划区手动输入。,参数输入,无,成交节奏,原Sheet下方横向身份证,有,,需明确目标是标准单、订单数还是人数。,,
L1-059,L1,原始指标,目标产品价格,M-140,用于计划测算的目标产品价格。,计划区手动输入。,参数输入,无,成交节奏,原Sheet下方横向身份证,有,,需明确产品组合和含税/退款口径。,,
L3-067,L3,复合业务指标,目标进阶转化率,M-141,目标进阶单数占计划分母人数的比例。,目标进阶单数 ÷ 计划分母人数。,公式计算,L1-058 目标进阶单数,成交节奏,原Sheet下方横向身份证,有,,当前计划分母2980疑似误作人数，需确认。,,
L1-060,L1,原始指标,计划标准单节奏占比,M-142,计划中各成交分桶应贡献的标准单比例。,各D日/分桶手动配置。,参数输入,无,成交节奏,原Sheet下方横向身份证,有,,,各分桶比例应校验合计100%。,
L3-068,L3,复合业务指标,计划当日LTV贡献,M-143,按计划成交节奏计算的某分桶LTV贡献。,计划标准单节奏占比 × 目标进阶单数 × 目标产品价格 ÷ 内部总配额。,公式计算,L1-060 计划标准单节奏占比；L1-058 目标进阶单数；L1-059 目标产品价格；L2-007 内部总配额,成交节奏,原Sheet下方横向身份证,有,,,现表公式硬编码250，未引用目标单元格。,
L3-069,L3,复合业务指标,计划累计LTV,M-144,截至某成交分桶的计划LTV累计值。,累计求和计划当日LTV贡献。,公式计算,L3-068 计划当日LTV贡献,成交节奏,原Sheet下方横向身份证,无,,,,
L3-070,L3,复合业务指标,同期LTV差,M-145,本期某D日/时点进阶LTV与上一期同期值的差额。,本期同期LTV - 上一期同期LTV。,公式计算,L3-001 进阶LTV,实际LTV,原Sheet下方横向身份证,有,,,,需确保D日、时点、截单规则和分母一致。
L1-061,L1,原始指标,预测人数,M-146,按渠道预测进入指定业务环节的人数。,按渠道录入预测值。,预测输入,无,LTV预测,原Sheet下方横向身份证,有,当前Sheet只有表头，无当前值。,需明确人数对应报名、进群、有效学员还是进阶人数。,,
L2-034,L2,汇总/一次派生指标,预测GMV,M-147,按渠道预测的进阶支付金额。,预测人数 × 预测转化率 × 预测客单价，或直接录入。,预测计算/输入,L1-061 预测人数,LTV预测,原Sheet下方横向身份证,有,当前Sheet无公式或当前值。,需明确产品组合、退款和归属口径。,,
L3-071,L3,复合业务指标,预测LTV,M-148,预测GMV除以预测口径人数。,预测GMV ÷ 预测口径人数。,预测计算,L2-034 预测GMV；L1-061 预测人数,LTV预测,原Sheet下方横向身份证,有,,需明确LTV分母人数。,,
L1-062,L1,原始字段,渠道学员归属原始记录,新增原始字段,用于形成“渠道人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从按渠道汇总原始学员记录。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,流量数据沉淀,由L2-035的上游来源抽取,有,现表裂变/CPA为470/93，602期_六表原始数据汇总_V1.xlsx/飞书_渠道日更原始最近口径为504/164，不能精确复算。,,,需锁定D日快照和渠道归属规则。
L2-035,L2,汇总/一次派生指标,渠道人数,M-149,某营期、某渠道纳入统计的有效学员人数。,按渠道汇总原始学员记录。,原始汇总,L1-062 渠道学员归属原始记录,流量数据沉淀,原Sheet下方横向身份证,有,现表裂变/CPA为470/93，602期_六表原始数据汇总_V1.xlsx/飞书_渠道日更原始最近口径为504/164，不能精确复算。,,,需锁定D日快照和渠道归属规则。
L3-072,L3,复合业务指标,渠道占比,M-150,某渠道人数占全渠道总人数的比例。,渠道人数 ÷ 全渠道总人数。,公式计算,L2-035 渠道人数,流量数据沉淀,原Sheet下方横向身份证,有,,,现表公式引用空白总人数B3。,
L1-063,L1,原始字段,折算进阶单数原始明细记录,新增原始字段,用于形成“折算进阶单数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从渠道订单按金额规则逐笔折算后求和。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,流量数据沉淀,由L2-036的上游来源抽取,有,现表与602订单来源不能精确复算。,,,
L2-036,L2,汇总/一次派生指标,折算进阶单数,M-151,某渠道按金额规则折算的进阶等效单数。,渠道订单按金额规则逐笔折算后求和。,规则计算,L1-063 折算进阶单数原始明细记录,流量数据沉淀,原Sheet下方横向身份证,有,现表与602订单来源不能精确复算。,,存在未映射金额。,
L3-073,L3,复合业务指标,渠道折算进阶转化率,M-152,某渠道折算进阶单数占渠道人数的比例。,折算进阶单数 ÷ 渠道人数。,公式计算,L2-036 折算进阶单数；L2-035 渠道人数,流量数据沉淀,原Sheet下方横向身份证,无,,,,
L3-074,L3,复合业务指标,渠道获客成本,M-153,某渠道广告费用平均分摊到该渠道人数的成本。,广告费用 ÷ 渠道人数。,公式计算,L1-002 广告费用；L2-035 渠道人数,流量数据沉淀,原Sheet下方横向身份证,有,,该指标不是传统新增获客CAC，名称需避免与M-004混淆。,,
L2-037,L2,汇总/一次派生指标,渠道人均进阶金额,M-154,某渠道进阶金额平均分摊到该渠道人数的金额。,进阶金额 ÷ 渠道人数。,公式计算,L2-001 进阶金额；L2-035 渠道人数,流量数据沉淀,原Sheet下方横向身份证,有,,该指标不是M-002的内部总配额口径LTV。,,
L1-064,L1,原始字段,面试分类原始记录,新增原始字段,用于形成“面试分类人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从当前表人工汇总。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,面试情况,由L2-038的上游来源抽取,有,602原始包没有结构化面试分类明细。,,,需说明左右两块统计快照。
L2-038,L2,汇总/一次派生指标,面试分类人数,M-155,按面试大类或细分类汇总的人数；分类是维度。,当前表人工汇总。,手动汇总,L1-064 面试分类原始记录,面试情况,原Sheet下方横向身份证,有,602原始包没有结构化面试分类明细。,,,需说明左右两块统计快照。
L3-075,L3,复合业务指标,面试大类占比,M-156,某面试大类人数占面试统计总人数的比例。,大类人数 ÷ 面试统计总人数。,公式计算,L2-038 面试分类人数,面试情况,原Sheet下方横向身份证,有,,,需明确总人数单元格和去重规则。,
L3-076,L3,复合业务指标,面试细分类占比,M-157,某细分类人数占所属面试大类人数的比例。,细分类人数 ÷ 所属大类人数。,公式计算,L2-038 面试分类人数,面试情况,原Sheet下方横向身份证,有,,,右侧细分类合计102，低于总数104，存在2人缺口。,
L1-065,L1,原始字段,启航营学员状态原始记录,新增原始字段,用于形成“启航营学员状态人数”的逐条原始事实或明细记录；本身不做汇总和公式计算。,从当前表人工汇总。所指向的原始来源逐条拉取或登记。,原始明细拉取/登记,无,面试情况,由L2-039的上游来源抽取,有,602原始包没有对应状态明细。,,,
L2-039,L2,汇总/一次派生指标,启航营学员状态人数,M-158,按启航营学员状态分类汇总的人数。,当前表人工汇总。,手动汇总,L1-065 启航营学员状态原始记录,面试情况,原Sheet下方横向身份证,有,602原始包没有对应状态明细。,,,
L3-077,L3,复合业务指标,启航营学员状态占比,M-159,某启航营学员状态人数占状态总人数的比例。,状态人数 ÷ 状态总人数。,公式计算,L2-039 启航营学员状态人数,面试情况,原Sheet下方横向身份证,有,,,,需锁定统计快照。
